タスクID	タスク名	説明	カテゴリ	完成度	完成状況・更新理由	易用度	利用難易度	担当者	利用者・利用部署	最終動作確認日	表示順	AI操作マニュアルMD
TASK-PW-URL-CACHE	PWトーナメントURL管理	PokerWebのトーナメント名、Tournament ID、URLをブラウザ内の共通URL Cacheへ保存・監査・修復する。	共通補助	90	実運用可能。新しいイベントの追加や大会名変更後は、Cacheの再収集・監査が必要。	普通	大会名を変更した場合、または同名のトーナメントを作成した場合、過去のCacheが不整合データ（汚染データ）として残る可能性があります。その場合は、マニュアルに従って該当データを確認し、削除する必要があります。	Sha	カスタマー		1	TASK-PW-URL-CACHE_PWトーナメントURL管理_AI操作マニュアル.md
TASK-PW-PANEL-HELPER	PWツールパネル移動補助	PokerWeb上の対応済みPWツールパネルを移動し、選択したパネルを手前へ表示する。	共通補助	90	実運用可能。新しいPWスクリプトのパネルを追加した場合は、対応パネルIDの更新が必要。	易	導入後の追加設定は不要です。PokerWebを再読み込みすれば、対応済みのPWツールパネルをそのまま移動できます。	Sha	カスタマー		2	TASK-PW-PANEL-HELPER_PWツールパネル移動補助_AI操作マニュアル.md
TASK-TICKET-GRANT	TICKET自動付与	Game IDと正式なTICKET名を記載したTSVをPWへ貼り付け、ナショナルチケットを一括付与する。	TICKET	90	実運用可能。PokerWebの画面仕様やTICKET構成が変更された場合は更新が必要。	易	TSVのGame ID・正式なTICKET名・枚数が正しければ、そのまま貼り付けて実行できます。PWのナショナルチケット画面以外では使用しません。	Sha	カスタマー		3	TASK-TICKET-GRANT_TICKET自動付与_AI操作マニュアル.md
TASK-PW-CREATE	PWでトーナメント作成	TSVのトーナメント情報を読み込み、PokerWebへトーナメントを新規作成する。	PokerWeb	60	基本フローは使用可能。新しいトーナメント形式や作成項目を追加する場合は更新と動作確認が必要。	普通	取り込んだTSVの内容がそのままトーナメント設定へ反映されるため、作成前に大会名・日時・金額・回数・Chips・TICKET名に誤りがないことを確認する必要があります。	Sha	カスタマー		4	TASK-PW-CREATE_PWでトーナメント作成_AI操作マニュアル.md
TASK-PW-PATCH	PW作成トーナメントの設定修正	既存トーナメントの名称、Item Fee、EN・RE Chipsなど、指定された項目だけを修正する。	PokerWeb	80	対象限定の修正は運用可能。新しい修正項目を追加する場合は更新が必要。	普通	空欄は「変更なし」、0は「0へ変更」として扱われます。同名大会やDay違いがある場合は、URLまたはTournament IDを指定しないと別大会を修正する危険があります。	Sha	カスタマー		5	TASK-PW-PATCH_PW作成トーナメントの設定修正_AI操作マニュアル.md
TASK-TICKET-LINK	TICKET LINK	対象トーナメントと受付用TICKETを確認し、既存トーナメントへTICKET LINKを設定する。	PokerWeb	60	基本フローは使用可能。同名トーナメントやTICKETルール追加時は確認と更新が必要。	普通	同名大会・Day違い・複数のTICKET候補がある場合は自動確定できません。候補URLと正式なTICKET名を確認し、正しい組み合わせを選ぶ必要があります。	Sha	カスタマー		6	TASK-TICKET-LINK_TICKET LINK_AI操作マニュアル.md
TASK-PW-DC	PW作成トーナメントのDC	トーナメント名、開始条件、EN・RE・TE、Chips、TICKET LINK、USDTなどの主要設定をDCする。	PokerWeb	80	主要設定の読み取り確認は運用可能。新しい設定項目を追加した場合はチェック項目の更新が必要。	普通	大会表とTicket Link表は、表頭・日付行・空欄列を含めてそのまま貼り付ける必要があります。空欄列を削除すると、大会とTICKETの対応がずれます。	Sha	カスタマー		7	TASK-PW-DC_PW作成トーナメントのDC_AI操作マニュアル.md
TASK-PW-CLOSE-AUDIT	トーナメントCLOSE・監査	複数トーナメントのCLOSE処理と設定監査を分けて実行する。	PokerWeb	60	CLOSEと監査の分離実行は可能。イベントごとのURL解決と結果確認が必要。	易	CLOSEは実際に大会を終了させる処理です。対象URLを確定したTSVだけを使用し、CLOSEと監査を別操作として実行する必要があります。	Sha	カスタマー		8	TASK-PW-CLOSE-AUDIT_トーナメントCLOSE・監査_AI操作マニュアル.md
TASK-PW-PRIZE	PWのPrize入力・DC	Prize PLANを作成してPokerWebへ入力し、入力結果とGame IDをDCする。	Prize	80	Prize PLANの作成・入力・確認は運用可能。新しいPrize形式や重名トーナメントでは追加確認が必要。	普通	同名大会・Day違い・Tag／2on2／3on3などの複数人制では、自動判定できない場合があります。PLANで人数展開、順位、金額を確認してからPWへ入力する必要があります。	Sha	カスタマー		9	TASK-PW-PRIZE_PWのPrize入力・DC_AI操作マニュアル.md
TASK-PW-COIN	PW Coin 自動リクエスト	支払対象と未払いPrizeを照合し、対象者へPW Coinを順番にリクエストする。	Prize	60	基本処理は使用可能。支払条件やPrize形式の変更時は更新と実機確認が必要。	易	コインPrize管理Sheetには多数の大会が含まれるため、表頭を含め、今回使用する大会分のTournament Prizeだけを選んで貼り付ける必要があります。	Sha	カスタマー		10	TASK-PW-COIN_PW Coin 自動リクエスト_AI操作マニュアル.md
