リソースID	タスクID	リソース名	種類	必要ツール	導入方式	URL	ソース・参照	補足	表示順
RES-PW-URL-MANAGER	TASK-PW-URL-CACHE	PW URL Cache Manager	Tampermonkey	Tampermonkey	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-url-cache-manager.user.js	tampermonkey/pw-url-cache-manager.user.js	トーナメントURLの検索・収集・監査・修復に使用する。	1
RES-PW-PANEL-HELPER	TASK-PW-PANEL-HELPER	PW 共通パネル移動・最小化	Tampermonkey	Tampermonkey	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-panel-drag-helper.user.js	tampermonkey/pw-panel-drag-helper.user.js	対応済みPWパネルの移動、位置保存、重なり順を補助する。	1
RES-PW-NATIONAL-TICKET-BATCH	TASK-TICKET-GRANT	PW ナショナルチケット Batch	Tampermonkey	Tampermonkey	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-national-ticket-batch.user.js	tampermonkey/pw-national-ticket-batch.user.js	ログイン済みのPokerWeb管理画面でTSVを読み込み、一括付与する。	1
RES-PW-CREATE-TM	TASK-PW-CREATE	PW Tournament Create Auto	Tampermonkey	Tampermonkey / PokerWeb / TSV	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-tournament-create-auto.user.js	tampermonkey/pw-tournament-create-auto.user.js	作成後にUSDT・Item・TICKET LINKを設定する。	1
RES-PW-PATCH-TM	TASK-PW-PATCH	PW Existing Tournament Patch	Tampermonkey	Tampermonkey / PokerWeb / TSV	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-existing-item-fee-patch.user.js	tampermonkey/pw-existing-item-fee-patch.user.js	TSVに記載された項目だけを修正する。	1
RES-TICKET-LINK-TM	TASK-TICKET-LINK	PW Ticket Link Semi Auto	Tampermonkey	Tampermonkey / PokerWeb / Google Sheet	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-ticket-link-semi-auto.user.js	tampermonkey/pw-ticket-link-semi-auto.user.js	既存トーナメント用のTICKET LINK設定ツール。	1
RES-PW-DC-TM	TASK-PW-DC	PW Tournament Double Check	Tampermonkey	Tampermonkey / PokerWeb	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-tournament-double-check.user.js	tampermonkey/pw-tournament-double-check.user.js	書き込みを行わない確認専用ツール。	1
RES-PW-CLOSE-AUDIT-TM	TASK-PW-CLOSE-AUDIT	PW Tournament CLOSE + AUDIT Background Batch	Tampermonkey	Tampermonkey / PokerWeb / TSV	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-tournament-close-audit-batch.user.js	tampermonkey/pw-tournament-close-audit-batch.user.js	CLOSEとAUDITを別操作として実行する。	1
RES-PW-PRIZE-TM	TASK-PW-PRIZE	PW Prize Plan 書込・確認	Tampermonkey	Tampermonkey / PokerWeb / Prize表	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-prize-batch-manual.user.js	tampermonkey/pw-prize-batch-manual.user.js	Prize PLANの作成・入力・確認を行う。	1
RES-PW-PRIZE-GAMEID-TM	TASK-PW-PRIZE	PW・シーズン Prize Game ID照合	Tampermonkey	Tampermonkey / PokerWeb / シーズンDB	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-prize-gameid-check.user.js	tampermonkey/pw-prize-gameid-check.user.js	Prize行のGame IDを照合する。	2
